"","state.abb","state.name","id","geo_id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","current_liabilities","net_pension_assets","net_opeb_assets","total_assets","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"4135","PA","Pennsylvania",37715,"42067",2022,"juniata county",302897,4092875,0,48556,0,0,14405141,17430740,20275204,23496,0,0,55279
"4136","MI","Michigan",80482,"26143",2020,"roscommon county",11837717,6894591,2690657,535828,0,0,0,17264350,20524030,23450,13167,0.561277121786947,50822
"4137","MI","Michigan",80482,"26143",2021,"roscommon county",10803084,6326960,2259213,659447,0,0,0,21098569,23585736,23450,13167,0.561277121786947,50822
"4138","MI","Michigan",80482,"26143",2022,"roscommon county",15962839,11508468,1946973,1090433,0,0,37454598,26390118,24045697,23450,13167,0.561277121786947,50822
"4139","OR","Oregon",37531,"41015",2020,"curry county",17767318,16000466,0,980236,0,0,0,21645958,19420945,23447,11294,0.481702635844067,52586
"4140","OR","Oregon",37531,"41015",2021,"curry county",24714219,20047239,0,3901724,0,0,0,22481542,19196150,23447,11294,0.481702635844067,52586
"4141","OR","Oregon",37531,"41015",2022,"curry county",14872538,11399327,0,2721360,0,0,62277467,19532735,19082949,23447,11294,0.481702635844067,52586
"4142","MI","Michigan",77569,"26009",2020,"antrim county",26162892,11979903,0,4894124,0,0,0,38575130,44411211,23428,0,0,59430
"4143","MI","Michigan",77569,"26009",2021,"antrim county",20198553,8033743,0,3801979,0,0,0,19201279,21951424,23428,0,0,59430
"4144","MI","Michigan",77569,"26009",2022,"antrim county",15865321,5880355,0,2018050,0,0,76235519,20505242,28109379,23428,0,0,59430
"4145","GA","Georgia",96471,"13119",2020,"franklin county",21658676,2219186,0,1169587,0,0,0,22919123,26240192,23424,0,0,48045
"4146","GA","Georgia",96471,"13119",2021,"franklin county",22720951,850112,0,1355260,0,0,0,22222697,27625813,23424,0,0,48045
"4147","GA","Georgia",96471,"13119",2022,"franklin county",23666736,0,0,6205171,851508,0,88158538,24169070,28796333,23424,0,0,48045
"4148","IN","Indiana",48632,"18041",2020,"fayette county",0,2698181,0,0,5139,0,0,58537392,62513858,23404,14401,0.615479955551757,50642
"4149","IN","Indiana",48632,"18041",2021,"fayette county",0,0,0,0,0,0,0,64123445,66865480,23404,14401,0.615479955551757,50642
"4150","IN","Indiana",48632,"18041",2022,"fayette county",0,0,0,0,0,0,0,62161260,65229299,23404,14401,0.615479955551757,50642
"4151","MN","Minnesota",42738,"27093",2020,"meeker county",55789625,19995523,938499,7023921,0,0,0,72076708,82880199,23400,6569,0.280726495726496,66785
"4152","MN","Minnesota",42738,"27093",2021,"meeker county",45942224,13331608,1018150,11321111,69425,0,0,74156663,89244479,23400,6569,0.280726495726496,66785
"4153","MN","Minnesota",42738,"27093",2022,"meeker county",64684805,32044094,955346,11153524,0,0,199787963,84406008,87185492,23400,6569,0.280726495726496,66785
"4154","IN","Indiana",112526,"18149",2022,"starke county",0,0,0,0,0,0,0,48801124,54282982,23370,0,0,57994
"4155","WA","Washington",43015,"53049",2020,"pacific county",0,2949322,730245,0,750688,0,0,33771350,36302099,23365,8663,0.370768243098652,58715
"4156","WA","Washington",43015,"53049",2021,"pacific county",0,683977,2565095,0,8645906,0,0,33700111,41574753,23365,8663,0.370768243098652,58715
"4157","WA","Washington",43015,"53049",2022,"pacific county",0,1745631,4013945,0,3855650,0,0,38408224,42792019,23365,8663,0.370768243098652,58715
"4158","WY","Wyoming",43628,"56039",2020,"teton county",26055160,16640137,0,7644587,0,0,0,72154265,84467853,23323,10760,0.461188976040461,102709
