"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"129","NE","Nebraska",35432,"31000",2022,"nebraska",4658981000,3931094000,93694000,626992000,24606000,0,24270224000,4168064000,144018000,11734710000,13311159000,1961489,1432003,73.005357113725,66949
"130","NH","New Hampshire",35545,"33000",2022,"new hampshire",6359392000,1850146000,850545000,0,2022441000,0,9970800000,3959191000,99027000,8466999000,9714109000,1377518,803420,58.323273049061,88268
"131","LA","Louisiana",90240,"22000",2022,"louisiana",37973068000,14376799000,4890631000,0,6858087000,0,47787993000,29123232000,237696000,40152271000,43813677000,4657749,3332237,71.5416669439818,52090
"132","SC","South Carolina",38235,"45000",2022,"south carolina",18760755000,7784270000,3671799000,0,4178946000,0,48202033000,16641514000,215644000,32988241000,38147313000,5118429,3477869,67.948030888408,59447
"133","ME","Maine",33873,"23000",2022,"maine",8461350000,1504499000,1413826000,20087000,2577091000,NA,11874823000,5295537000,72214000,12941312000,13568956000,1362341,526309,38.6321813853764,64823
"134","RI","Rhode Island",38202,"44000",2022,"rhode island",8946041000,2535018000,2837608000,7256000,211355000,18381000,10912345000,5425541000,98630000,11750228000,12991181000,1097371,999191,91.0524987265111,73324
"135","SD","South Dakota",38382,"46000",2022,"south dakota",2352102000,1518793000,0,156577000,0,0,10918634000,4488178000,72189000,5464720000,5795476000,886677,507347,57.2195649550508,66843
"136","MA","Massachusetts",149462,"25000",2022,"massachusetts",119941152000,5731466000,34806645000,0,15217822000,0,60764752000,39452848000,1001576000,83357551000,91731184000,7029949,6416895,91.2798116962121,89577
"137","NY","New York",42220,"36000",2022,"new york",245485000000,81459000000,513000000,0,67729000000,17000000,260647000000,43768000000,1752000000,278723000000,298881000000,20201230,17665166,87.4459099038876,74230
"138","PA","Pennsylvania",37697,"42000",2022,"pennsylvania",76883947000,20465022000,12550399000,0,19492810000,0,98197157000,44944395000,962177000,108003747000,124984855000,13002689,9941070,76.4538903458512,68931
"139","TX","Texas",38611,"48000",2022,"texas",221174854000,41312562000,30883865000,0,77666435000,0,475449878000,114839703000,2168494000,200863596000,247834996000,29145428,24400697,83.7202752191118,66959
"140","TN","Tennessee",38453,"47000",2022,"tennessee",11804020000,7597871000,0,488630000,1176636000,0,65840759000,28858494000,349798000,39696980000,47122100000,6910786,4577282,66.2333667108485,59698
"141","VT","Vermont",39343,"50000",2022,"vermont",7965341237,1870596466,2512066064,0,2738757616,0,7833710631,3855588836,47957346,7972305295,8614197245,643085,225850,35.1202111100226,72415
"142","WA","Washington",39528,"53000",2022,"washington",94852592000,12559167000,956169000,10878819000,6467340000,0,133313411000,45683717000,988504000,80919363000,82670407000,7705247,6424035,83.3718458807667,84155
"143","UT","Utah",39282,"49000",2022,"utah",6450339000,3096536000,927000,288012000,2012000,353000,46134874000,16867918000,231060000,18788083000,24377685000,3271614,2937303,89.7814107768149,79449
"144","VA","Virginia",39392,"51000",2022,"virginia",35033174000,16777683000,2823571000,0,1063130000,0,83380609000,28736022000,347462000,64922221000,73504448000,8631384,6528313,75.6345238827615,80926
