"","state","name","id","ncesID","state.abb","enrollment_20","enrollment_21","enrollment_22","government_level"
"2995","PA","Central Dauphin School District","37964","4205400","PA",12214,11894,12224,"school district"
"2996","PA","Everett Area School District","37875","4209360","PA",1237,1220,1191,"school district"
"2997","PA","Chambersburg Area School District","37997","4205550","PA",9456,9039,9118,"school district"
"2998","PA","Centennial School District","37906","4205190","PA",5471,5285,5274,"school district"
"2999","PA","Chichester School District","37976","4205910","PA",3200,3018,3051,"school district"
"3000","PA","Butler Area School District","37912","4204590","PA",6285,6086,6035,"school district"
"3001","PA","Deer Lakes School District","37834","4207540","PA",1871,1841,1810,"school district"
"3002","PA","Cornell School District","37833","4206810","PA",583,548,521,"school district"
"3003","PA","Carlynton School District","37831","4205040","PA",1367,1314,1299,"school district"
"3004","PA","Fox Chapel Area School District","37850","4210070","PA",4080,4093,4158,"school district"
"3005","PA","Gettysburg Area School District","37824","4210710","PA",3115,2868,2791,"school district"
"3006","PA","Great Valley School District","37930","4210870","PA",4428,4510,4606,"school district"
"3007","PA","Greater Johnstown School District","37916","4210950","PA",2940,2881,3019,"school district"
"3008","PA","Greencastle-Antrim School District","37999","4211010","PA",3027,2999,3022,"school district"
"3009","PA","Freedom Area School District","37867","4210380","PA",1278,1249,1233,"school district"
"3010","PA","Keystone Oaks School District","37857","4212750","PA",1952,1907,1884,"school district"
"3011","PA","Athens Area School District","37894","4202670","PA",2086,2035,2053,"school district"
"3012","PA","Penn-Delco School District","37974","4218580","PA",3381,3336,3284,"school district"
"3013","PA","Lehighton Area School District","37924","4213500","PA",2369,2187,2188,"school district"
"3014","PA","Pennsbury School District","37911","4218840","PA",9907,9544,9662,"school district"
"3015","PA","School District of Borough of Bristol","37902","4204200","PA",1264,1199,1200,"school district"
"3016","PA","West Mifflin Area School District","37848","4225680","PA",2735,2583,2461,"school district"
"3017","PA","Woodland Hills School District","37845","4216500","PA",3302,3174,3236,"school district"
"3018","PA","Tussey Mountain School District","37878","4223970","PA",926,940,957,"school district"
"3019","PA","Hopewell Area School District","37868","4212030","PA",2177,2107,2071,"school district"
"3020","PA","Avon Grove School District","37936","4202790","PA",5084,4934,5031,"school district"
"3021","PA","Brownsville Area School District","37994","4204080","PA",1546,1483,1529,"school district"
"3022","PA","Bellefonte Area School District","37927","4203240","PA",2681,2664,2646,"school district"
"3023","PA","Dallas School District","38058","4207200","PA",2511,2425,2452,"school district"
"3024","PA","Forest Area School District","37996","4208280","PA",426,412,402,"school district"
"3025","PA","Cornwall Lebanon School District","38047","4206840","PA",4903,4854,4967,"school district"
"3026","PA","Claysburg-Kimmel School District","37891","4206120","PA",818,799,779,"school district"
"3027","PA","Fort Leboeuf School District","37989","4209990","PA",2110,2027,1998,"school district"
"3028","PA","General Mclane School District","37980","4210650","PA",2115,2064,2117,"school district"
"3029","PA","Corry Area School District","37979","4206860","PA",1988,1860,1860,"school district"
"3030","PA","Interboro School District","37968","4212170","PA",3367,3286,3305,"school district"
"3031","PA","Hermitage School District","38078","4211820","PA",2076,2039,2036,"school district"
"3032","PA","Hempfield School District","38036","4211790","PA",7023,6818,7044,"school district"
"3033","PA","Jersey Shore Area School District","38069","4212480","PA",2305,2182,2175,"school district"
"3034","PA","Lower Dauphin School District","37965","4214100","PA",3719,3613,3534,"school district"
"3035","PA","Kennett Consolidated School District","37933","4212690","PA",4156,4012,3947,"school district"
"3036","PA","Council Rock School District","37908","4206960","PA",10778,10494,10449,"school district"
"3037","PA","Parkland School District","38053","4218510","PA",9642,9541,9676,"school district"
"3038","PA","Middletown Area School District","37962","4215240","PA",2475,2372,2384,"school district"
"3039","PA","North East School District","37985","4217160","PA",1629,1581,1514,"school district"
"3040","PA","North Hills School District","37853","4217220","PA",4501,4606,4554,"school district"
"3041","PA","Connellsville Area School District","37990","4206660","PA",4070,3919,3561,"school district"
"3042","PA","Oxford Area School District","37934","4218300","PA",3611,3353,3379,"school district"
