"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","median_hh_income_21"
"152","MO","Missouri",44598,"2965000",2021,"st louis",3662613000,523453000,616351000,0,654613000,0,3861720000,0,58308000,1170808000,1101042000,301574,49965
"153","OK","Oklahoma",125837,"4055000",2021,"oklahoma city",2377773000,96685000,408312000,0,443682000,0,4729437000,0,94378000,999429000,1029908000,681084,59214
"154","NC","North Carolina",36728,"3755000",2021,"raleigh",2361176428,226210165,203853587,0,189934098,0,5129144536,0,33245460,787637884,987255776,467762,74612
"155","NC","North Carolina",36708,"3775000",2021,"winston-salem",1115603455,81592368,80074722,0,0,12099186,2312603738,0,17313914,386916855,499906171,249562,54228
"156","KS","Kansas",33468,"2079000",2021,"wichita",1500033422,246530158,15602000,0,44218000,0,4221113253,0,14577000,588265268,713501200,397547,56293
"157","NC","North Carolina",36713,"3712000",2021,"charlotte",6817711000,495567000,1019687000,0,227624000,42758000,18323912000,0,90754000,2212176000,2482891000,874607,70869
"158","NC","North Carolina",36706,"3719000",2021,"durham",1021315269,94664449,114942996,0,164490386,0,1008217544,0,25797782,477630333,587850585,283588,71343
"159","OK","Oklahoma",1268097,"4075000",2021,"tulsa",1310463000,70853000,307741000,0,4600000,0,3709260000,0,37034000,594013000,703102000,413123,51008
"160","OR","Oregon",37572,"4159000",2021,"portland",9676620990,362782129,5447870710,0,95444851,2403478,10259480676,0,112505275,2315364498,2400174810,652518,79057
"161","NE","Nebraska",35447,"3128000",2021,"lincoln",1668339134,141527498,39668000,0,26979000,0,4147580763,0,33791000,766018047,935618237,291105,62294
"162","NE","Nebraska",35443,"3137000",2021,"omaha",3145801379,196958885,814257649,0,512272582,0,3736432035,0,90438534,833472066,1068787063,491743,62948
"163","NJ","New Jersey",35652,"3451000",2021,"newark",635368314,0,0,0,0,0,635368314,635368314,0,993439451,1021231386,311552,43242
"164","PA","Pennsylvania",42714,"4260000",2021,"philadelphia",18803884000,2887334000,4721351000,0,2088155000,0,14122297000,0,5984000,8408336000,8763843000,1603799,52899
"165","PA","Pennsylvania",43862,"4261000",2021,"pittsburgh",2033199668,45437895,822015601,0,395364862,0,748652689,0,31767924,625367419,705998444,302958,57821
"166","NM","New Mexico",35917,"3502000",2021,"albuquerque",2493805208,192010899,904300000,0,314556997,0,5722653309,0,50009598,1093688347,1224799549,564581,58512
"167","NV","Nevada",35518,"3231900",2021,"henderson",1084887438,104643888,416549579,0,89339854,0,3737833431,0,50613783,594070606,708532059,317310,77924
"168","NV","Nevada",35519,"3240000",2021,"las vegas",1828903547,148864241,873504531,0,55725322,0,6130652073,0,48520133,1026067641,1217540116,644866,59746
"169","NV","Nevada",35520,"3251800",2021,"north las vegas",855709552,71329348,219150533,0,109107152,0,2566299895,0,41634466,420093691,576778514,259520,67035
"170","NV","Nevada",35523,"3260600",2021,"reno",1061795874,78943241,252369268,0,147020971,0,1982009528,0,28289163,402429362,523608626,264147,67478
"171","NJ","New Jersey",108025,"3436000",2021,"jersey city",191198139,191198139,113755178,0,1208152775,0,436691145,0,130922651,1156967562,1041289727,292754,81958
"172","TX","Texas",31543,"4804000",2021,"arlington",1866983000,69491000,0,27444000,144366000,0,4722784000,0,45914000,607945000,685362000,394257,59889
"173","TX","Texas",38712,"4805000",2021,"austin",15516665000,593022000,2178003000,0,4346367000,0,18901919000,0,180500000,4627438000,4436046000,961900,79542
"174","TX","Texas",38701,"4817000",2021,"corpus christi",1936597928,145981390,203244403,0,10392386,0,3654260359,0,46141166,622511420,721689677,317863,59812
"175","TX","Texas",38669,"4819000",2021,"dallas",14023129000,599300000,5702885000,0,266160000,0,2667309000,0,135807000,2491639000,3440643000,1304317,57995
"176","TX","Texas",43166,"4824000",2021,"el paso",2773436603,165215037,485256939,0,168416162,0,3119731244,0,73791412,870926344,1085555707,678697,51241
"177","TX","Texas",43770,"4835000",2021,"houston",22569340000,718518000,1779562000,0,2629644000,0,28225302000,0,543297000,4970640000,6339214000,2301572,55499
"178","TX","Texas",47012,"4837000",2021,"irving",1089686874,86083020,153236230,0,18303061,0,2156789796,0,34493704,418767014,496729475,256687,70340
"179","TX","Texas",40881,"4841464",2021,"laredo",1476807436,99013438,252346173,1326670,206576960,0,2215517669,0,27943429,476043948,561946459,255212,52438
