ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Revenue (TOTALREV) [District Finance] 2020-21,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Expenditures (TOTALEXP) [District Finance] 2020-21
QUAKER DIGITAL ACADEMY,Ohio,OH ,3900252,7-Independent Charter District,505,10.17,4331000,13000,3890000,428000,5105000
QUAKER PREPARATORY ACADEMY,OHIO,OH ,3901619,7-Independent Charter District,165,8.71,892000,0,835000,57000,431000
QUAKER VALLEY SD,Pennsylvania,PA ,4219860,1-Regular local school district that is NOT a component of a supervisory union,1876,163.00,54190000,43502000,8755000,1933000,47590000
QUAKERTOWN COMMUNITY SD,Pennsylvania,PA ,4219890,1-Regular local school district that is NOT a component of a supervisory union,4770,302.45,114104000,83947000,27741000,2416000,110659000
QUALITY EDUCATION ACADEMY,North Carolina,NC ,3700025,7-Independent Charter District,695,58.00,7155000,1630000,4552000,973000,7291000
QUANAH ISD,Texas,TX ,4836180,1-Regular local school district that is NOT a component of a supervisory union,528,55.61,9932000,4304000,3820000,1808000,9578000
QUANTUM STEAM ACADEMY CHARTER,MINNESOTA,MN ,2700451,7-Independent Charter District,67,7.00,1277000,0,932000,345000,1141000
QUAPAW,Oklahoma,OK ,4025320,1-Regular local school district that is NOT a component of a supervisory union,563,39.00,5438000,1382000,2981000,1075000,5706000
QUARRY VALLEY UNIFIED UNION SCHOOL DISTRICT #70,VERMONT,VT ,5000411,2-Local school district that is a component of a supervisory union,1045,111.40,19739000,1285000,18116000,338000,18343000
QUARTZSITE ELEMENTARY DISTRICT (4511),Arizona,AZ ,0406780,1-Regular local school district that is NOT a component of a supervisory union,178,8.00,2879000,2277000,362000,240000,2299000
QUEEN ANNE'S COUNTY PUBLIC SCHOOLS,Maryland,MD ,2400540,1-Regular local school district that is NOT a component of a supervisory union,7395,508.52,119215000,66063000,46485000,6667000,115614000
QUEEN BEE SD 16,Illinois,IL ,1732970,1-Regular local school district that is NOT a component of a supervisory union,1728,–,39441000,20650000,15550000,3241000,39761000
QUEEN CITY CAREER PREP HIGH SCHOOL,Ohio,OH ,3900086,7-Independent Charter District,89,4.00,1363000,22000,957000,384000,1204000
QUEEN CITY ISD,Texas,TX ,4836210,1-Regular local school district that is NOT a component of a supervisory union,959,84.73,14104000,6202000,6235000,1667000,13121000
QUEEN CREEK UNIFIED DISTRICT (4245),Arizona,AZ ,0406810,1-Regular local school district that is NOT a component of a supervisory union,10269,499.33,115592000,50542000,51406000,13644000,134262000
QUEEN'S GRANT COMMUNITY SCHOOL,North Carolina,NC ,3700127,7-Independent Charter District,1266,61.77,10850000,3671000,7170000,9000,11046000
QUEENSBURY UNION FREE SCHOOL DISTRICT,New York,NY ,3624030,1-Regular local school district that is NOT a component of a supervisory union,3082,234.51,70745000,39554000,27757000,3434000,59870000
QUEETS-CLEARWATER SCHOOL DISTRICT,Washington,WA ,5301380,1-Regular local school district that is NOT a component of a supervisory union,26,1.89,1117000,88000,727000,302000,915000
QUEMADO INDEPENDENT SCHOOLS,New Mexico,NM ,3502130,1-Regular local school district that is NOT a component of a supervisory union,165,21.45,4116000,485000,2430000,1201000,4010000
QUEST ACADEMY,North Carolina,NC ,3700099,7-Independent Charter District,140,10.00,1423000,444000,948000,31000,1396000
QUEST ACADEMY,Utah,UT ,4900132,7-Independent Charter District,991,–,9077000,217000,7792000,1068000,7962000
QUEST CHARTER ACADEMY,Michigan,MI ,2600965,7-Independent Charter District,788,40.46,8173000,19000,7019000,1135000,8064000
QUESTA INDEPENDENT SCHOOLS,New Mexico,NM ,3502160,1-Regular local school district that is NOT a component of a supervisory union,282,23.61,5973000,949000,4247000,777000,5349000
QUILCENE SCHOOL DISTRICT,Washington,WA ,5306990,1-Regular local school district that is NOT a component of a supervisory union,634,27.72,9913000,1180000,8278000,455000,9216000
QUILEUTE TRIBAL SCHOOL,Bureau of Indian Education,BI ,5900127,1-Regular local school district that is NOT a component of a supervisory union,91,14.00,†,†,†,†,†
QUILLAYUTE VALLEY SCHOOL DISTRICT,Washington,WA ,5307020,1-Regular local school district that is NOT a component of a supervisory union,3367,177.96,48138000,2227000,42366000,3545000,46114000
QUINCY,Massachusetts,MA ,2509870,1-Regular local school district that is NOT a component of a supervisory union,9480,737.22,207150000,143914000,53209000,10027000,198860000
QUINCY COMMUNITY SCHOOLS,Michigan,MI ,2629250,1-Regular local school district that is NOT a component of a supervisory union,1160,55.20,14841000,2647000,9954000,2240000,12631000
QUINCY SCHOOL DISTRICT,Washington,WA ,5307080,1-Regular local school district that is NOT a component of a supervisory union,3049,180.25,56753000,15404000,35649000,5700000,54100000
QUINCY SD 172,Illinois,IL ,1733000,1-Regular local school district that is NOT a component of a supervisory union,6543,–,102538000,47110000,43662000,11766000,94342000
QUINLAN ISD,Texas,TX ,4836240,1-Regular local school district that is NOT a component of a supervisory union,2592,182.52,33311000,12338000,15683000,5290000,29572000
QUINTER PUBLIC SCHOOLS,Kansas,KS ,2010950,1-Regular local school district that is NOT a component of a supervisory union,322,38.90,5129000,1171000,3443000,515000,5275000
QUINTON,Oklahoma,OK ,4025410,1-Regular local school district that is NOT a component of a supervisory union,387,30.50,4943000,1991000,2063000,889000,5056000
QUINTON TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3413500,1-Regular local school district that is NOT a component of a supervisory union,264,31.00,8447000,2801000,5112000,534000,8004000
QUITMAN CO SCHOOL DIST,Mississippi,MS ,2803810,1-Regular local school district that is NOT a component of a supervisory union,894,88.84,14164000,4137000,5628000,4399000,13425000
QUITMAN COUNTY,Georgia,GA ,1304290,1-Regular local school district that is NOT a component of a supervisory union,287,25.30,6433000,1731000,3643000,1059000,6122000
QUITMAN ISD,Texas,TX ,4836300,1-Regular local school district that is NOT a component of a supervisory union,1130,97.22,20483000,8278000,8405000,3800000,13548000
QUITMAN SCHOOL DIST,Mississippi,MS ,2803780,1-Regular local school district that is NOT a component of a supervisory union,1645,106.58,21433000,7399000,9187000,4847000,20331000
QUITMAN SCHOOL DISTRICT,Arkansas,AR ,0511880,1-Regular local school district that is NOT a component of a supervisory union,748,59.05,8065000,4858000,1720000,1487000,8370000
QUOGUE UNION FREE SCHOOL DISTRICT,New York,NY ,3624060,1-Regular local school district that is NOT a component of a supervisory union,122,15.01,8367000,7951000,395000,21000,8699000
R O W V A CUSD 208,Illinois,IL ,1729940,1-Regular local school district that is NOT a component of a supervisory union,618,–,10903000,5764000,4589000,550000,9608000
R.I. SCH FOR THE DEAF,Rhode Island,RI ,4400001,5-State agency providing elementary and/or secondary level instruction,79,21.25,8096000,699000,6881000,516000,8010000
RABUN COUNTY,Georgia,GA ,1304320,1-Regular local school district that is NOT a component of a supervisory union,2180,168.20,44415000,30104000,8889000,5422000,37993000
RACCOON CONS SD 1,Illinois,IL ,1733030,1-Regular local school district that is NOT a component of a supervisory union,222,–,2772000,988000,1399000,385000,2765000
RACELAND-WORTHINGTON INDEPENDENT,Kentucky,KY ,2104980,1-Regular local school district that is NOT a component of a supervisory union,1019,61.50,15192000,2469000,10813000,1910000,13230000
RACINE CHARTER ONE INC.,Wisconsin,WI ,5500045,7-Independent Charter District,513,28.80,–,–,–,–,–
RACINE UNIFIED SCHOOL DISTRICT,Wisconsin,WI ,5512360,1-Regular local school district that is NOT a component of a supervisory union,16254,1323.78,338220000,114371000,192844000,31005000,324223000
RADFORD CITY PUBLIC SCHOOLS,Virginia,VA ,5103180,1-Regular local school district that is NOT a component of a supervisory union,2520,185.56,30981000,12510000,16361000,2110000,30429000
RADNOR TOWNSHIP SD,Pennsylvania,PA ,4219920,1-Regular local school district that is NOT a component of a supervisory union,3624,285.45,107180000,86557000,16919000,3704000,101223000
RAHWAY PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3413530,1-Regular local school district that is NOT a component of a supervisory union,4056,325.50,95960000,47300000,44197000,4463000,87842000
RAICES DEL SABER XINACHTLI COMMUNITY SCHOOL,NEW MEXICO,NM ,3500184,7-Independent Charter District,61,3.50,1335000,175000,1069000,91000,1206000
RAINIER PREP CHARTER SCHOOL DISTRICT,WASHINGTON,WA ,5300335,7-Independent Charter District,344,24.80,4896000,586000,3926000,384000,4795000
RAINIER SCHOOL DISTRICT,Washington,WA ,5307110,1-Regular local school district that is NOT a component of a supervisory union,888,52.00,13575000,2787000,9995000,793000,12706000
RAINIER SD 13,Oregon,OR ,4103265,1-Regular local school district that is NOT a component of a supervisory union,857,50.00,12387000,4567000,6342000,1478000,11189000
RAINIER VALLEY LEADERSHIP ACADEMY,WASHINGTON,WA ,5300342,7-Independent Charter District,158,14.00,4718000,896000,3377000,445000,4190000
RAINS ISD,Texas,TX ,4836360,1-Regular local school district that is NOT a component of a supervisory union,1709,132.11,21443000,8547000,10009000,2887000,20369000
RAISIN CITY ELEMENTARY,California,CA ,0631680,1-Regular local school district that is NOT a component of a supervisory union,284,12.00,6041000,1051000,3527000,1463000,5032000
RALEIGH CHARTER HIGH SCHOOL,North Carolina,NC ,3700097,7-Independent Charter District,569,40.10,2257000,2159000,0,98000,4887000
RALEIGH COUNTY SCHOOLS,West Virginia,WV ,5401230,1-Regular local school district that is NOT a component of a supervisory union,10869,799.00,160663000,50992000,89354000,20317000,150259000
RALEIGH OAK CHARTER SCHOOL,NORTH CAROLINA,NC ,3700428,7-Independent Charter District,305,24.97,2987000,908000,2008000,71000,3184000
RALLS CO. R-II,Missouri,MO ,2925710,1-Regular local school district that is NOT a component of a supervisory union,756,59.56,10239000,6070000,2530000,1639000,10653000
RALLS ISD,Texas,TX ,4836390,1-Regular local school district that is NOT a component of a supervisory union,462,48.98,7228000,1504000,4406000,1318000,7243000
RALPH C MAHAR,Massachusetts,MA ,2509900,1-Regular local school district that is NOT a component of a supervisory union,619,57.63,17080000,8243000,7948000,889000,14255000
RALSTON PUBLIC SCHOOLS,Nebraska,NE ,3175900,1-Regular local school district that is NOT a component of a supervisory union,3210,228.72,45993000,27078000,15130000,3785000,41267000
RAMAPO INDIAN HILLS REGIONAL HIGH SCHOOL DISTRICT,New Jersey,NJ ,3413560,1-Regular local school district that is NOT a component of a supervisory union,2244,217.61,68388000,55534000,11770000,1084000,63559000
RAMIREZ CSD,Texas,TX ,4836420,1-Regular local school district that is NOT a component of a supervisory union,44,3.01,993000,294000,565000,134000,729000
RAMONA CITY UNIFIED,California,CA ,0631710,1-Regular local school district that is NOT a component of a supervisory union,5070,209.53,69208000,30824000,31052000,7332000,65032000
RAMSAY ELEM,Montana,MT ,3021850,1-Regular local school district that is NOT a component of a supervisory union,152,12.20,2076000,829000,1037000,210000,1901000
RAMSEY CUSD 204,Illinois,IL ,1733090,1-Regular local school district that is NOT a component of a supervisory union,449,–,7472000,1642000,4922000,908000,6957000
RAMSEY SCHOOL DISTRICT,New Jersey,NJ ,3413590,1-Regular local school district that is NOT a component of a supervisory union,2621,257.56,81295000,65266000,14896000,1133000,88274000
RANCH ACADEMY,Texas,TX ,4800171,7-Independent Charter District,61,4.83,1156000,4000,871000,281000,951000
RANCHES ACADEMY,Utah,UT ,4900064,7-Independent Charter District,371,–,3030000,29000,2856000,145000,2759000
RANCHO SANTA FE ELEMENTARY,California,CA ,0631740,1-Regular local school district that is NOT a component of a supervisory union,547,42.78,16370000,14224000,1480000,666000,13579000
RANCOCAS VALLEY REGIONAL HIGH SCHOOL DISTRICT,New Jersey,NJ ,3413620,1-Regular local school district that is NOT a component of a supervisory union,2129,139.60,47686000,22592000,23808000,1286000,48788000
RANDALL J1 SCHOOL DISTRICT,Wisconsin,WI ,5512390,1-Regular local school district that is NOT a component of a supervisory union,669,53.77,11042000,7555000,3058000,429000,8922000
RANDALL PARK HIGH SCHOOL,Ohio,OH ,3900279,7-Independent Charter District,83,5.00,1402000,0,1326000,76000,1280000
RANDOLPH,Massachusetts,MA ,2509930,1-Regular local school district that is NOT a component of a supervisory union,2660,212.44,65394000,33355000,28098000,3941000,71382000
RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT,New York,NY ,3607440,1-Regular local school district that is NOT a component of a supervisory union,22,30.84,9111000,8602000,209000,300000,9729000
RANDOLPH CENTRAL SCHOOL CORP,Indiana,IN ,1801770,1-Regular local school district that is NOT a component of a supervisory union,1373,114.14,17022000,5233000,9947000,1842000,17709000
RANDOLPH CENTRAL SCHOOL DISTRICT,New York,NY ,3624090,1-Regular local school district that is NOT a component of a supervisory union,888,74.67,20271000,4546000,13708000,2017000,19587000
RANDOLPH COUNTY,Georgia,GA ,1304350,1-Regular local school district that is NOT a component of a supervisory union,784,55.20,14828000,5018000,5074000,4736000,13562000
RANDOLPH COUNTY,Alabama,AL ,0102820,1-Regular local school district that is NOT a component of a supervisory union,2029,130.43,26456000,6225000,15892000,4339000,24750000
RANDOLPH COUNTY SCHOOL SYSTEM,North Carolina,NC ,3703780,1-Regular local school district that is NOT a component of a supervisory union,15346,988.70,158369000,27799000,112664000,17906000,180229000
RANDOLPH COUNTY SCHOOLS,West Virginia,WV ,5401260,1-Regular local school district that is NOT a component of a supervisory union,3790,282.00,49295000,9908000,29850000,9537000,47071000
RANDOLPH EASTERN SCHOOL CORP,Indiana,IN ,1803180,1-Regular local school district that is NOT a component of a supervisory union,924,50.69,10536000,2548000,6592000,1396000,9245000
RANDOLPH FIELD ISD,Texas,TX ,4836450,1-Regular local school district that is NOT a component of a supervisory union,1441,103.65,32785000,715000,13006000,19064000,32588000
RANDOLPH PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2730150,1-Regular local school district that is NOT a component of a supervisory union,706,44.50,9576000,2045000,6616000,915000,10572000
RANDOLPH PUBLIC SCHOOLS,Nebraska,NE ,3175930,1-Regular local school district that is NOT a component of a supervisory union,268,24.21,4684000,3500000,792000,392000,4541000
RANDOLPH SCHOOL DISTRICT,Wisconsin,WI ,5512420,1-Regular local school district that is NOT a component of a supervisory union,550,41.75,10290000,4376000,5254000,660000,8586000
RANDOLPH SOUTHERN SCHOOL CORP,Indiana,IN ,1810740,1-Regular local school district that is NOT a component of a supervisory union,463,37.89,6160000,2025000,3454000,681000,5935000
RANDOLPH TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3413650,1-Regular local school district that is NOT a component of a supervisory union,4314,382.27,115596000,82411000,30229000,2956000,118395000
RANDOM LAKE SCHOOL DISTRICT,Wisconsin,WI ,5512450,1-Regular local school district that is NOT a component of a supervisory union,726,56.82,13919000,7775000,5136000,1008000,12185000
RANGELY SCHOOL DISTRICT RE4,Colorado,CO ,0806180,1-Regular local school district that is NOT a component of a supervisory union,493,34.65,7939000,3250000,4116000,573000,7344000
RANGER ISD,Texas,TX ,4836480,1-Regular local school district that is NOT a component of a supervisory union,351,42.52,5598000,1666000,3025000,907000,4724000
RANKIN CO SCHOOL DIST,Mississippi,MS ,2803830,1-Regular local school district that is NOT a component of a supervisory union,18384,1313.56,221412000,96577000,95739000,29096000,251347000
RANKIN CSD 98,Illinois,IL ,1733120,1-Regular local school district that is NOT a component of a supervisory union,183,–,4702000,2836000,1631000,235000,4287000
RANKIN ISD,Texas,TX ,4836510,1-Regular local school district that is NOT a component of a supervisory union,289,39.77,28059000,27300000,611000,148000,80929000
RANTOUL CITY SD 137,Illinois,IL ,1733210,1-Regular local school district that is NOT a component of a supervisory union,1674,–,35378000,9201000,22854000,3323000,31722000
RANTOUL TOWNSHIP HSD 193,Illinois,IL ,1733240,1-Regular local school district that is NOT a component of a supervisory union,798,–,19513000,8730000,9625000,1158000,15556000
RAPELJE ELEM,Montana,MT ,3021870,1-Regular local school district that is NOT a component of a supervisory union,41,7.36,902000,583000,233000,86000,948000
RAPELJE H S,Montana,MT ,3021900,1-Regular local school district that is NOT a component of a supervisory union,22,5.19,763000,416000,322000,25000,835000
RAPID CITY AREA SCHOOL DISTRICT 51-4,South Dakota,SD ,4659820,1-Regular local school district that is NOT a component of a supervisory union,12814,855.71,157836000,83005000,46983000,27848000,145604000
RAPID RIVER PUBLIC SCHOOLS,Michigan,MI ,2629340,1-Regular local school district that is NOT a component of a supervisory union,284,17.35,4800000,2282000,1903000,615000,4477000
RAPIDES PARISH,Louisiana,LA ,2201290,1-Regular local school district that is NOT a component of a supervisory union,22297,1322.78,304194000,114973000,139901000,49320000,294254000
RAPOPORT ACADEMY PUBLIC SCHOOL,Texas,TX ,4800042,7-Independent Charter District,821,78.87,11304000,132000,9839000,1333000,10570000
RAPPAHANNOCK COUNTY PUBLIC SCHOOLS,Virginia,VA ,5103210,1-Regular local school district that is NOT a component of a supervisory union,766,67.75,14330000,9893000,3127000,1310000,14329000
RAQUETTE LAKE UNION FREE SCHOOL DISTRICT,New York,NY ,3624120,1-Regular local school district that is NOT a component of a supervisory union,†,†,212000,210000,2000,0,242000
RATON PUBLIC SCHOOLS,New Mexico,NM ,3502190,1-Regular local school district that is NOT a component of a supervisory union,852,65.95,11539000,984000,9063000,1492000,12950000
RATTAN,Oklahoma,OK ,4025500,1-Regular local school district that is NOT a component of a supervisory union,440,36.83,5709000,966000,3642000,1101000,6294000
RAU ELEM,Montana,MT ,3021960,1-Regular local school district that is NOT a component of a supervisory union,66,7.00,794000,356000,344000,94000,914000
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,Texas,TX ,4800022,7-Independent Charter District,1335,81.47,20506000,424000,14828000,5254000,19184000
RAVALLI,Montana,MT ,3000067,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),0,†,†,†,†,†,†
RAVEN SCHOOL,Texas,TX ,4800048,7-Independent Charter District,39,4.80,1028000,1000,679000,348000,1136000
RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,New York,NY ,3624150,1-Regular local school district that is NOT a component of a supervisory union,1820,183.69,49044000,26889000,20345000,1810000,44156000
RAVENDALE-TERMO ELEMENTARY,California,CA ,0631830,1-Regular local school district that is NOT a component of a supervisory union,12,1.00,320000,134000,161000,25000,284000
RAVENNA CITY,Ohio,OH ,3904468,1-Regular local school district that is NOT a component of a supervisory union,2103,149.53,36538000,15018000,18140000,3380000,34387000
RAVENNA PUBLIC SCHOOLS,Michigan,MI ,2629370,1-Regular local school district that is NOT a component of a supervisory union,1010,53.43,14653000,4087000,9166000,1400000,13276000
RAVENNA PUBLIC SCHOOLS,Nebraska,NE ,3175960,1-Regular local school district that is NOT a component of a supervisory union,408,40.69,7367000,5624000,1202000,541000,7336000
RAVENSWOOD CITY ELEMENTARY,California,CA ,0631860,1-Regular local school district that is NOT a component of a supervisory union,1731,96.52,67689000,47292000,11981000,8416000,56202000
RAVIA,Oklahoma,OK ,4025530,1-Regular local school district that is NOT a component of a supervisory union,88,8.00,1198000,506000,379000,313000,1106000
RAWLINS COUNTY,Kansas,KS ,2000023,1-Regular local school district that is NOT a component of a supervisory union,350,45.00,5888000,1751000,3655000,482000,5949000
RAY OF LIGHT ACADEMY (79590),Arizona,AZ ,0400462,8-Other education agencies,1,–,–,–,–,–,–
RAY UNIFIED DISTRICT (4438),Arizona,AZ ,0406850,1-Regular local school district that is NOT a component of a supervisory union,367,20.65,5730000,3162000,1625000,943000,6004000
RAYMOND #14 SCHOOL DISTRICT,Wisconsin,WI ,5512480,1-Regular local school district that is NOT a component of a supervisory union,410,28.30,7140000,5337000,1588000,215000,5490000
RAYMOND CENTRAL PUBLIC SCHOOLS,Nebraska,NE ,3104950,1-Regular local school district that is NOT a component of a supervisory union,716,52.44,11441000,8946000,1818000,677000,11131000
RAYMOND SAU OFFICE,New Hampshire,NH ,3300002,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,†,†,†,†,†,†
RAYMOND SCHOOL DISTRICT,New Hampshire,NH ,3305880,2-Local school district that is a component of a supervisory union,1192,101.50,26899000,16535000,8086000,2278000,25898000
RAYMOND SCHOOL DISTRICT,Washington,WA ,5307140,1-Regular local school district that is NOT a component of a supervisory union,567,36.29,9585000,1007000,7540000,1038000,10371000
RAYMOND-KNOWLES UNION ELEMENTARY,California,CA ,0631920,1-Regular local school district that is NOT a component of a supervisory union,71,4.00,1298000,568000,522000,208000,1203000
RAYMONDVILLE ISD,Texas,TX ,4836540,1-Regular local school district that is NOT a component of a supervisory union,2080,153.49,32055000,5090000,20179000,6786000,30664000
RAYMONDVILLE R-VII,Missouri,MO ,2926040,1-Regular local school district that is NOT a component of a supervisory union,136,14.57,2211000,570000,1202000,439000,2067000
RAYMORE-PECULIAR R-II,Missouri,MO ,2923730,1-Regular local school district that is NOT a component of a supervisory union,6290,439.05,93950000,55983000,30250000,7717000,74427000
RAYTOWN C-2,Missouri,MO ,2926070,1-Regular local school district that is NOT a component of a supervisory union,7906,631.47,124456000,63746000,41578000,19132000,122608000
REACH ACADEMY CHARTER SCHOOL,NEW YORK,NY ,3601173,7-Independent Charter District,422,58.00,0,0,0,0,7371000
REACH CHARTER ACADEMY,Michigan,MI ,2600950,7-Independent Charter District,623,38.03,7035000,444000,5599000,992000,6908000
REACH CYBER CS,PENNSYLVANIA,PA ,4200887,7-Independent Charter District,8138,318.00,132001000,127324000,61000,4616000,95710000
REACH DISTRICT,CALIFORNIA,CA ,0601812,7-Independent Charter District,118,6.80,1420000,984000,327000,109000,1280000
REACH LEADERSHIP STEAM ACADEMY DISTRICT,CALIFORNIA,CA ,0601738,7-Independent Charter District,640,23.00,7508000,1878000,5014000,616000,6776000
REACHING ALL MINDS ACADEMY,North Carolina,NC ,3700363,7-Independent Charter District,349,27.72,4089000,1324000,2621000,144000,3842000
READING,Massachusetts,MA ,2509990,1-Regular local school district that is NOT a component of a supervisory union,3951,315.99,78206000,54027000,20516000,3663000,75670000
READING COMMUNITY CITY,Ohio,OH ,3904469,1-Regular local school district that is NOT a component of a supervisory union,1635,85.09,22582000,12139000,7271000,3172000,21124000
READING COMMUNITY SCHOOLS,Michigan,MI ,2629400,1-Regular local school district that is NOT a component of a supervisory union,689,39.51,9449000,2117000,5895000,1437000,10222000
READING MUHLENBERG CTC,Pennsylvania,PA ,4280070,9-Specialized public school district,19,32.00,12114000,7962000,3299000,853000,10468000
READING SD,Pennsylvania,PA ,4220040,1-Regular local school district that is NOT a component of a supervisory union,17659,1097.00,287877000,45171000,208044000,34662000,287495000
READINGTON TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3413710,1-Regular local school district that is NOT a component of a supervisory union,1412,158.60,41848000,32415000,8624000,809000,39593000
READS COLLABORATIVE,MASSACHUSETTS,MA ,2500561,4-Regional Education Service Agency (RESA),†,†,–,–,–,–,–
REAGAN ACADEMY,Utah,UT ,4900032,7-Independent Charter District,640,–,5927000,107000,5182000,638000,5517000
REAGAN COUNTY ISD,Texas,TX ,4836570,1-Regular local school district that is NOT a component of a supervisory union,837,85.23,20838000,18774000,983000,1081000,56672000
REAL SALT LAKE ACADEMY HIGH SCHOOL,UTAH,UT ,4900197,7-Independent Charter District,402,–,3640000,139000,3458000,43000,14956000
REARDAN-EDWALL SCHOOL DISTRICT,Washington,WA ,5307210,1-Regular local school district that is NOT a component of a supervisory union,700,37.34,10911000,2045000,8029000,837000,10582000
REAVIS TWP HSD 220,Illinois,IL ,1733270,1-Regular local school district that is NOT a component of a supervisory union,1977,–,47061000,33747000,11747000,1567000,52200000
RECOVERY SCHOOL DISTRICT-LDE,Louisiana,LA ,2200054,1-Regular local school district that is NOT a component of a supervisory union,1004,59.83,15322000,6260000,5544000,3518000,13799000
RECTOR SCHOOL DISTRICT,Arkansas,AR ,0504370,1-Regular local school district that is NOT a component of a supervisory union,630,45.12,7912000,2439000,3472000,2001000,6996000
RED BANK BOROUGH PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3413740,1-Regular local school district that is NOT a component of a supervisory union,1382,122.75,35664000,18793000,14056000,2815000,36213000
RED BANK CHARTER SCHOOL,New Jersey,NJ ,3400049,7-Independent Charter District,199,21.60,4266000,2993000,944000,329000,4220000
RED BANK REGIONAL SCHOOL DISTRICT,New Jersey,NJ ,3413750,1-Regular local school district that is NOT a component of a supervisory union,1314,112.80,37958000,29908000,7269000,781000,42226000
RED BLUFF JOINT UNION HIGH,California,CA ,0632010,1-Regular local school district that is NOT a component of a supervisory union,1798,81.30,29249000,11005000,14893000,3351000,25859000
RED BLUFF UNION ELEMENTARY,California,CA ,0631980,1-Regular local school district that is NOT a component of a supervisory union,1849,90.52,30664000,5756000,19722000,5186000,29502000
RED BUD CUSD 132,Illinois,IL ,1733300,1-Regular local school district that is NOT a component of a supervisory union,1060,–,18951000,12346000,5848000,757000,16682000
RED CLAY CONSOLIDATED SCHOOL DISTRICT,Delaware,DE ,1001300,1-Regular local school district that is NOT a component of a supervisory union,15057,1082.80,320864000,130216000,165818000,24830000,304944000
RED CLOUD COMMUNITY SCHOOLS,Nebraska,NE ,3175990,1-Regular local school district that is NOT a component of a supervisory union,255,24.44,4322000,3098000,825000,399000,4555000
RED CREEK CENTRAL SCHOOL DISTRICT,New York,NY ,3624210,1-Regular local school district that is NOT a component of a supervisory union,829,85.95,23168000,4656000,16875000,1637000,21806000
RED HILL CUSD 10,Illinois,IL ,1722130,1-Regular local school district that is NOT a component of a supervisory union,938,–,13720000,3053000,9232000,1435000,12679000
RED HOOK CENTRAL SCHOOL DISTRICT,New York,NY ,3624240,1-Regular local school district that is NOT a component of a supervisory union,1691,159.45,54910000,34623000,18971000,1316000,54623000
RED LAKE COUNTY CENTRAL PUBLIC SCH,Minnesota,MN ,2700385,1-Regular local school district that is NOT a component of a supervisory union,391,34.38,6656000,1484000,4550000,622000,6718000
RED LAKE FALLS PUBLIC SCHOOL DIST.,Minnesota,MN ,2730450,1-Regular local school district that is NOT a component of a supervisory union,387,31.87,7364000,1787000,4855000,722000,12456000
RED LAKE PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2730510,1-Regular local school district that is NOT a component of a supervisory union,1526,127.91,68240000,308000,36924000,31008000,45227000
RED LICK ISD,Texas,TX ,4836630,1-Regular local school district that is NOT a component of a supervisory union,518,40.00,6248000,2960000,2979000,309000,5310000
RED LION AREA SD,Pennsylvania,PA ,4220100,1-Regular local school district that is NOT a component of a supervisory union,4897,342.81,98069000,54470000,35873000,7726000,92764000
RED LODGE ELEM,Montana,MT ,3022080,1-Regular local school district that is NOT a component of a supervisory union,307,25.14,4526000,2246000,1446000,834000,4143000
RED LODGE H S,Montana,MT ,3022110,1-Regular local school district that is NOT a component of a supervisory union,185,16.88,3805000,2394000,1213000,198000,5602000
RED MESA UNIFIED DISTRICT (4159),Arizona,AZ ,0406870,1-Regular local school district that is NOT a component of a supervisory union,423,35.49,12619000,2292000,4094000,6233000,13473000
RED OAK,Oklahoma,OK ,4025590,1-Regular local school district that is NOT a component of a supervisory union,328,19.50,3794000,999000,2054000,741000,3335000
RED OAK COMM SCHOOL DISTRICT,Iowa,IA ,1924000,1-Regular local school district that is NOT a component of a supervisory union,1056,70.69,17711000,7294000,8498000,1919000,14784000
RED OAK ISD,Texas,TX ,4836660,1-Regular local school district that is NOT a component of a supervisory union,6001,391.76,75048000,33174000,36806000,5068000,68751000
RED RIVER CHARTER ACADEMY,LOUISIANA,LA ,2200308,7-Independent Charter District,274,12.00,2781000,876000,1652000,253000,1811000
RED RIVER PARISH,Louisiana,LA ,2201320,1-Regular local school district that is NOT a component of a supervisory union,1394,87.11,29181000,18422000,5111000,5648000,34952000
