ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2022-23,Full-Time Equivalent (FTE) Teachers [District] 2022-23
WALLINGFORD SCHOOL DISTRICT,Connecticut,CT ,0904740,1-Regular local school district that is NOT a component of a supervisory union,5335,516.45
WALLINGFORD-SWARTHMORE SD,Pennsylvania,PA ,4224790,1-Regular local school district that is NOT a component of a supervisory union,3678,269.27
WALLINGTON BORO SCHOOL DISTRICT,New Jersey,NJ ,3416920,1-Regular local school district that is NOT a component of a supervisory union,1229,87.55
WALLIS ANNENBERG HIGH DISTRICT,CALIFORNIA,CA ,0602413,7-Independent Charter District,464,26.56
WALLKILL CENTRAL SCHOOL DISTRICT,New York,NY ,3629790,1-Regular local school district that is NOT a component of a supervisory union,2782,237.99
WALLKILL VALLEY REGIONAL HIGH SCHOOL,New Jersey,NJ ,3416870,1-Regular local school district that is NOT a component of a supervisory union,635,50.10
WALLOWA SD 12,Oregon,OR ,4112990,1-Regular local school district that is NOT a component of a supervisory union,192,15.18
WALNUT BEND ISD,Texas,TX ,4844490,1-Regular local school district that is NOT a component of a supervisory union,54,6.74
WALNUT CREEK ELEMENTARY,California,CA ,0641250,1-Regular local school district that is NOT a component of a supervisory union,3435,150.17
WALNUT GROVE R-V,Missouri,MO ,2930990,1-Regular local school district that is NOT a component of a supervisory union,279,21.90
WALNUT SPRINGS ISD,Texas,TX ,4844520,1-Regular local school district that is NOT a component of a supervisory union,171,17.82
WALNUT TOWNSHIP LOCAL,Ohio,OH ,3904690,1-Regular local school district that is NOT a component of a supervisory union,489,38.19
WALNUT VALLEY UNIFIED,California,CA ,0641280,1-Regular local school district that is NOT a component of a supervisory union,13494,538.70
WALPOLE,Massachusetts,MA ,2511970,1-Regular local school district that is NOT a component of a supervisory union,3683,310.09
WALSH SCHOOL DISTRICT NO. RE-1,Colorado,CO ,0807110,1-Regular local school district that is NOT a component of a supervisory union,183,16.91
WALTERS,Oklahoma,OK ,4031470,1-Regular local school district that is NOT a component of a supervisory union,610,41.90
WALTHALL CO SCHOOL DIST,Mississippi,MS ,2804440,1-Regular local school district that is NOT a component of a supervisory union,1684,142.65
WALTHAM,Massachusetts,MA ,2512000,1-Regular local school district that is NOT a component of a supervisory union,5703,552.76
WALTHAM CCSD 185,Illinois,IL ,1740620,1-Regular local school district that is NOT a component of a supervisory union,224,20.00
WALTHILL PUBLIC SCHOOLS,Nebraska,NE ,3178300,1-Regular local school district that is NOT a component of a supervisory union,281,34.47
WALTON,Florida,FL ,1201980,1-Regular local school district that is NOT a component of a supervisory union,11575,718.83
WALTON CENTRAL SCHOOL DISTRICT,New York,NY ,3629820,1-Regular local school district that is NOT a component of a supervisory union,859,72.00
WALTON CHARTER ACADEMY,Michigan,MI ,2600254,7-Independent Charter District,809,40.40
WALTON COUNTY,Georgia,GA ,1305390,1-Regular local school district that is NOT a component of a supervisory union,14557,917.70
WALTON-VERONA INDEPENDENT,Kentucky,KY ,2105700,1-Regular local school district that is NOT a component of a supervisory union,1919,120.00
WALTONVILLE CUSD 1,Illinois,IL ,1740650,1-Regular local school district that is NOT a component of a supervisory union,303,30.20
WALWORTH CO CDEB,Wisconsin,WI ,5500021,9-Specialized public school district,0,35.00
WALWORTH J1 SCHOOL DISTRICT,Wisconsin,WI ,5515450,1-Regular local school district that is NOT a component of a supervisory union,432,31.00
WAMEGO,Kansas,KS ,2000003,1-Regular local school district that is NOT a component of a supervisory union,1641,146.28
WAMY COMM ACTION INC,North Carolina,NC ,3700178,8-Other education agencies,†,†
WANAQUE SCHOOL DISTRICT,New Jersey,NJ ,3416950,1-Regular local school district that is NOT a component of a supervisory union,893,88.10
WANETTE,Oklahoma,OK ,4031500,1-Regular local school district that is NOT a component of a supervisory union,136,5.16
WANTAGH UNION FREE SCHOOL DISTRICT,New York,NY ,3629850,1-Regular local school district that is NOT a component of a supervisory union,2905,191.80
WAPAKONETA CITY,Ohio,OH ,3904498,1-Regular local school district that is NOT a component of a supervisory union,3046,147.88
WAPANUCKA,Oklahoma,OK ,4031590,1-Regular local school district that is NOT a component of a supervisory union,201,15.29
WAPATO SCHOOL DISTRICT,Washington,WA ,5309480,1-Regular local school district that is NOT a component of a supervisory union,3195,203.85
WAPELLO COMM SCHOOL DISTRICT,Iowa,IA ,1929730,1-Regular local school district that is NOT a component of a supervisory union,541,46.12
WAPPINGERS CENTRAL SCHOOL DISTRICT,New York,NY ,3629880,1-Regular local school district that is NOT a component of a supervisory union,10479,717.63
WAPSIE VALLEY COMM SCHOOL DISTRICT,Iowa,IA ,1929760,1-Regular local school district that is NOT a component of a supervisory union,709,58.44
WARDEN SCHOOL DISTRICT,Washington,WA ,5309510,1-Regular local school district that is NOT a component of a supervisory union,902,50.79
WARE,Massachusetts,MA ,2512030,1-Regular local school district that is NOT a component of a supervisory union,1136,91.94
WARE COUNTY,Georgia,GA ,1305430,1-Regular local school district that is NOT a component of a supervisory union,5973,452.90
WAREHAM,Massachusetts,MA ,2512060,1-Regular local school district that is NOT a component of a supervisory union,2057,178.46
WARNER,Oklahoma,OK ,4031650,1-Regular local school district that is NOT a component of a supervisory union,814,53.50
WARNER SCHOOL DISTRICT 06-5,South Dakota,SD ,4676020,1-Regular local school district that is NOT a component of a supervisory union,314,23.35
WARNER UNIFIED,California,CA ,0600042,1-Regular local school district that is NOT a component of a supervisory union,204,15.52
WARNERS GRANT SCHOOL DISTRICT,Vermont,VT ,5000018,2-Local school district that is a component of a supervisory union,0,0.00
WARREN CITY,Ohio,OH ,3904499,1-Regular local school district that is NOT a component of a supervisory union,4685,266.26
WARREN CO. R-III,Missouri,MO ,2931050,1-Regular local school district that is NOT a component of a supervisory union,3085,227.46
WARREN CONSOLIDATED SCHOOLS,Michigan,MI ,2635190,1-Regular local school district that is NOT a component of a supervisory union,12660,694.75
WARREN COUNTY,Tennessee,TN ,4704350,1-Regular local school district that is NOT a component of a supervisory union,6477,463.16
WARREN COUNTY,Kentucky,KY ,2105730,1-Regular local school district that is NOT a component of a supervisory union,17799,1064.00
WARREN COUNTY,Georgia,GA ,1305460,1-Regular local school district that is NOT a component of a supervisory union,662,61.50
WARREN COUNTY AVTS,Pennsylvania,PA ,4280440,9-Specialized public school district,3,15.00
WARREN COUNTY ESC,Ohio,OH ,3905040,4-Regional Education Service Agency (RESA),0,4.25
WARREN COUNTY PUBLIC SCHOOLS,Virginia,VA ,5103870,1-Regular local school district that is NOT a component of a supervisory union,5165,382.25
WARREN COUNTY SCHOOLS,North Carolina,NC ,3704740,1-Regular local school district that is NOT a component of a supervisory union,1801,119.96
WARREN COUNTY SD,Pennsylvania,PA ,4224820,1-Regular local school district that is NOT a component of a supervisory union,3911,303.42
WARREN COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,NJ ,3480362,4-Regional Education Service Agency (RESA),†,0.00
WARREN COUNTY VOCATIONAL SCHOOL,Ohio,OH ,3905147,4-Regional Education Service Agency (RESA),510,82.80
WARREN COUNTY VOCATIONAL TECHNICAL SCHOOL,New Jersey,NJ ,3417920,9-Specialized public school district,405,38.50
WARREN CUSD 205,Illinois,IL ,1740740,1-Regular local school district that is NOT a component of a supervisory union,397,36.25
WARREN EASTON CHARTER FOUNDATION INC.,LOUISIANA,LA ,2200316,7-Independent Charter District,1112,69.00
WARREN HILLS REGIONAL SCHOOL DISTRICT,New Jersey,NJ ,3416970,1-Regular local school district that is NOT a component of a supervisory union,1590,145.81
WARREN ISD,Texas,TX ,4844580,1-Regular local school district that is NOT a component of a supervisory union,1268,97.09
WARREN LOCAL,Ohio,OH ,3910018,1-Regular local school district that is NOT a component of a supervisory union,2009,101.50
WARREN SCHOOL DISTRICT,Arkansas,AR ,0500006,1-Regular local school district that is NOT a component of a supervisory union,1424,110.51
WARREN SCHOOL DISTRICT,New Hampshire,NH ,3306870,1-Regular local school district that is NOT a component of a supervisory union,67,8.80
WARREN TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3416980,1-Regular local school district that is NOT a component of a supervisory union,1635,198.70
WARREN TWP HSD 121,Illinois,IL ,1740800,1-Regular local school district that is NOT a component of a supervisory union,3758,216.00
WARREN WOODS PUBLIC SCHOOLS,Michigan,MI ,2635220,1-Regular local school district that is NOT a component of a supervisory union,3118,176.92
WARREN-ALVARADO-OSLO SCHOOL DIST.,Minnesota,MN ,2700024,1-Regular local school district that is NOT a component of a supervisory union,585,44.88
WARRENDALE CHARTER ACADEMY,Michigan,MI ,2600271,7-Independent Charter District,709,37.00
WARRENS GRANT SCHOOL DISTRICT,Vermont,VT ,5000019,2-Local school district that is a component of a supervisory union,0,0.00
WARRENSBURG CENTRAL SCHOOL DISTRICT,New York,NY ,3629910,1-Regular local school district that is NOT a component of a supervisory union,674,74.99
WARRENSBURG R-VI,Missouri,MO ,2931020,1-Regular local school district that is NOT a component of a supervisory union,3385,269.51
WARRENSBURG-LATHAM CUSD 11,Illinois,IL ,1740830,1-Regular local school district that is NOT a component of a supervisory union,992,61.00
WARRENSVILLE HEIGHTS CITY,Ohio,OH ,3904500,1-Regular local school district that is NOT a component of a supervisory union,1797,137.86
WARRENTON-HAMMOND SD 30,Oregon,OR ,4113080,1-Regular local school district that is NOT a component of a supervisory union,983,59.90
WARRICK COUNTY SCHOOL CORP,Indiana,IN ,1812390,1-Regular local school district that is NOT a component of a supervisory union,10122,589.00
WARRIOR RUN SD,Pennsylvania,PA ,4224870,1-Regular local school district that is NOT a component of a supervisory union,1461,107.00
WARROAD PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2741850,1-Regular local school district that is NOT a component of a supervisory union,1068,62.59
WARSAW CENTRAL SCHOOL DISTRICT,New York,NY ,3629940,1-Regular local school district that is NOT a component of a supervisory union,838,95.65
WARSAW COMMUNITY SCHOOLS,Indiana,IN ,1812420,1-Regular local school district that is NOT a component of a supervisory union,6734,460.00
WARSAW CUSD 316,Illinois,IL ,1740890,1-Regular local school district that is NOT a component of a supervisory union,418,34.36
WARSAW R-IX,Missouri,MO ,2931070,1-Regular local school district that is NOT a component of a supervisory union,1320,102.22
WARWICK,Rhode Island,RI ,4401110,1-Regular local school district that is NOT a component of a supervisory union,8005,648.40
WARWICK,MASSACHUSETTS,MA ,2513323,1-Regular local school district that is NOT a component of a supervisory union,†,†
WARWICK 29,North Dakota,ND ,3819260,1-Regular local school district that is NOT a component of a supervisory union,223,20.03
WARWICK SD,Pennsylvania,PA ,4224960,1-Regular local school district that is NOT a component of a supervisory union,3755,291.75
WARWICK VALLEY CENTRAL SCHOOL DISTRICT,New York,NY ,3629970,1-Regular local school district that is NOT a component of a supervisory union,3836,275.97
WASATCH DISTRICT,Utah,UT ,4901110,1-Regular local school district that is NOT a component of a supervisory union,9082,377.61
WASATCH PEAK ACADEMY,Utah,UT ,4900024,7-Independent Charter District,485,22.26
WASATCH WALDORF CHARTER SCHOOL,UTAH,UT ,4900185,7-Independent Charter District,632,32.25
WASCO UNION ELEMENTARY,California,CA ,0641400,1-Regular local school district that is NOT a component of a supervisory union,3414,165.05
WASCO UNION HIGH,California,CA ,0641430,1-Regular local school district that is NOT a component of a supervisory union,1854,88.88
WASECA PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2741880,1-Regular local school district that is NOT a component of a supervisory union,1784,120.01
WASHAKIE COUNTY SCHOOL DISTRICT #1,Wyoming,WY ,5606240,1-Regular local school district that is NOT a component of a supervisory union,1138,93.51
WASHAKIE COUNTY SCHOOL DISTRICT #2,Wyoming,WY ,5605820,1-Regular local school district that is NOT a component of a supervisory union,105,14.50
WASHBURN 4,North Dakota,ND ,3819290,1-Regular local school district that is NOT a component of a supervisory union,335,34.05
WASHBURN SCHOOL DISTRICT,Wisconsin,WI ,5515540,1-Regular local school district that is NOT a component of a supervisory union,599,46.31
WASHINGTON,Florida,FL ,1202010,1-Regular local school district that is NOT a component of a supervisory union,3313,191.70
WASHINGTON,Oklahoma,OK ,4031710,1-Regular local school district that is NOT a component of a supervisory union,1197,71.84
WASHINGTON,Missouri,MO ,2931110,1-Regular local school district that is NOT a component of a supervisory union,3720,303.30
WASHINGTON BOROUGH SCHOOL DISTRICT,New Jersey,NJ ,3417010,1-Regular local school district that is NOT a component of a supervisory union,557,49.70
WASHINGTON CENTER FOR DEAF AND HARD OF HEARING YOUTH,Washington,WA ,5300015,1-Regular local school district that is NOT a component of a supervisory union,107,0.00
WASHINGTON CENTRAL SUPERVISORY UNION,Vermont,VT ,5099932,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,21.00
WASHINGTON CENTRAL UNIFIED UNION SCHOOL DISTRICT #92,VERMONT,VT ,5000439,2-Local school district that is a component of a supervisory union,1430,117.84
WASHINGTON CHSD 308,Illinois,IL ,1740980,1-Regular local school district that is NOT a component of a supervisory union,1484,86.00
WASHINGTON CO. SCHOOLS,Kansas,KS ,2000028,1-Regular local school district that is NOT a component of a supervisory union,370,35.40
WASHINGTON COLONY ELEMENTARY,California,CA ,0641460,1-Regular local school district that is NOT a component of a supervisory union,449,23.14
WASHINGTON COMM SCHOOL DISTRICT,Iowa,IA ,1930240,1-Regular local school district that is NOT a component of a supervisory union,1673,124.26
WASHINGTON COMMUNITY SCHOOLS,Indiana,IN ,1812450,1-Regular local school district that is NOT a component of a supervisory union,2461,165.00
WASHINGTON COUNTY,Kentucky,KY ,2105760,1-Regular local school district that is NOT a component of a supervisory union,1776,103.44
WASHINGTON COUNTY,Tennessee,TN ,4704380,1-Regular local school district that is NOT a component of a supervisory union,8281,561.41
WASHINGTON COUNTY,Alabama,AL ,0103480,1-Regular local school district that is NOT a component of a supervisory union,2530,146.90
WASHINGTON COUNTY,Georgia,GA ,1305490,1-Regular local school district that is NOT a component of a supervisory union,2827,191.60
WASHINGTON COUNTY CAREER CENTER DISTRICT,Ohio,OH ,3905169,4-Regional Education Service Agency (RESA),413,30.50
WASHINGTON COUNTY PUBLIC SCHOOLS,Virginia,VA ,5103900,1-Regular local school district that is NOT a component of a supervisory union,6737,578.00
WASHINGTON COUNTY PUBLIC SCHOOLS,Maryland,MD ,2400660,1-Regular local school district that is NOT a component of a supervisory union,22297,1508.30
WASHINGTON COUNTY SCHOOLS,North Carolina,NC ,3704800,1-Regular local school district that is NOT a component of a supervisory union,1104,73.85
WASHINGTON COURT HOUSE CITY,Ohio,OH ,3910011,1-Regular local school district that is NOT a component of a supervisory union,2022,122.50
WASHINGTON DISTRICT,Utah,UT ,4901140,1-Regular local school district that is NOT a component of a supervisory union,37572,1597.39
WASHINGTON ELEMENTARY SCHOOL DISTRICT (4260),Arizona,AZ ,0409060,1-Regular local school district that is NOT a component of a supervisory union,19328,1164.20
WASHINGTON GLOBAL PCS,DISTRICT OF COLUMBIA,DC ,1100102,7-Independent Charter District,240,17.00
WASHINGTON ISLAND SCHOOL DISTRICT,Wisconsin,WI ,5515570,1-Regular local school district that is NOT a component of a supervisory union,62,10.15
WASHINGTON LATIN PCS,District of Columbia,DC ,1100019,7-Independent Charter District,917,87.45
WASHINGTON LEADERSHIP ACADEMY PCS,DISTRICT OF COLUMBIA,DC ,1100103,7-Independent Charter District,377,50.00
WASHINGTON LOCAL,Ohio,OH ,3904823,1-Regular local school district that is NOT a component of a supervisory union,6877,361.32
WASHINGTON MILITARY DEPARTMENT,Washington,WA ,5300324,8-Other education agencies,144,0.00
WASHINGTON MONTESSORI,North Carolina,NC ,3700101,7-Independent Charter District,403,32.89
WASHINGTON PARISH,Louisiana,LA ,2201860,1-Regular local school district that is NOT a component of a supervisory union,5019,282.78
WASHINGTON PARK COMMUNITY SCHOOL,Ohio,OH ,3900107,7-Independent Charter District,173,9.00
WASHINGTON SCHOOL DISTRICT,New Hampshire,NH ,3306900,1-Regular local school district that is NOT a component of a supervisory union,52,4.70
WASHINGTON SD,Pennsylvania,PA ,4224990,1-Regular local school district that is NOT a component of a supervisory union,1472,116.20
WASHINGTON SD 52,Illinois,IL ,1741040,1-Regular local school district that is NOT a component of a supervisory union,843,58.20
WASHINGTON STATE UNIVERSITY,Washington,WA ,5300317,8-Other education agencies,†,0.00
WASHINGTON TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3417040,8-Other education agencies,†,†
WASHINGTON TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3417160,1-Regular local school district that is NOT a component of a supervisory union,384,43.00
WASHINGTON TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3417130,1-Regular local school district that is NOT a component of a supervisory union,1982,200.25
WASHINGTON TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3417070,1-Regular local school district that is NOT a component of a supervisory union,7199,661.00
WASHINGTON UNIFIED,California,CA ,0641580,1-Regular local school district that is NOT a component of a supervisory union,7427,355.55
WASHINGTON UNIFIED,California,CA ,0601415,1-Regular local school district that is NOT a component of a supervisory union,2551,133.23
WASHINGTON UNION ELEMENTARY,California,CA ,0641610,1-Regular local school district that is NOT a component of a supervisory union,734,33.98
WASHINGTON YU YING PCS,District of Columbia,DC ,1100077,7-Independent Charter District,602,57.00
WASHINGTON-CALDWELL SCHOOL DISTRICT,Wisconsin,WI ,5515700,1-Regular local school district that is NOT a component of a supervisory union,194,15.30
WASHINGTON-NILE LOCAL,Ohio,OH ,3904965,1-Regular local school district that is NOT a component of a supervisory union,1269,90.53
WASHINGTON-PARKS ACADEMY,Michigan,MI ,2600958,7-Independent Charter District,580,19.50
WASHINGTON-SARATOGA-WARREN-HAMILTON-ESSEX BOCES,New York,NY ,3680940,4-Regional Education Service Agency (RESA),0,68.25
WASHINGTONVILLE CENTRAL SCHOOL DISTRICT,New York,NY ,3630030,1-Regular local school district that is NOT a component of a supervisory union,3973,307.70
WASHOE COUNTY SCHOOL DISTRICT,Nevada,NV ,3200480,1-Regular local school district that is NOT a component of a supervisory union,64443,3215.00
WASHOUGAL SCHOOL DISTRICT,Washington,WA ,5309540,1-Regular local school district that is NOT a component of a supervisory union,2865,161.72
WASHTENAW ISD,Michigan,MI ,2680990,9-Specialized public school district,906,160.88
WASHTENAW TECHNICAL MIDDLE COLLEGE,Michigan,MI ,2600164,7-Independent Charter District,776,22.86
WASHTUCNA SCHOOL DISTRICT,Washington,WA ,5309570,1-Regular local school district that is NOT a component of a supervisory union,73,11.00
WASIOJA ED. TECHNOLOGY COOP.,Minnesota,MN ,2700199,4-Regional Education Service Agency (RESA),†,0.00
WASKOM ISD,Texas,TX ,4844670,1-Regular local school district that is NOT a component of a supervisory union,825,72.15
WATAUGA COUNTY SCHOOLS,North Carolina,NC ,3704830,1-Regular local school district that is NOT a component of a supervisory union,4754,398.85
WATCHUNG BOROUGH SCHOOL DISTRICT,New Jersey,NJ ,3417190,1-Regular local school district that is NOT a component of a supervisory union,671,62.50
WATCHUNG HILLS REGIONAL HIGH SCHOOL DISTRICT,New Jersey,NJ ,3417220,1-Regular local school district that is NOT a component of a supervisory union,1783,150.81
WATER VALLEY ISD,Texas,TX ,4844710,1-Regular local school district that is NOT a component of a supervisory union,343,35.71
WATER VALLEY SCHOOL DISTRICT,Mississippi,MS ,2804500,1-Regular local school district that is NOT a component of a supervisory union,1041,76.70
WATER'S EDGE VILLAGE SCHOOL,North Carolina,NC ,3700329,7-Independent Charter District,44,5.00
WATERBURY SCHOOL DISTRICT,Connecticut,CT ,0904830,1-Regular local school district that is NOT a component of a supervisory union,18701,1341.50
WATERFORD GRADED J1 SCHOOL DISTRICT,Wisconsin,WI ,5515660,1-Regular local school district that is NOT a component of a supervisory union,1464,110.70
WATERFORD MONTESSORI ACADEMY,Michigan,MI ,2601053,7-Independent Charter District,402,27.99
WATERFORD SCHOOL DISTRICT,Michigan,MI ,2635310,1-Regular local school district that is NOT a component of a supervisory union,7058,433.51
WATERFORD SCHOOL DISTRICT,Connecticut,CT ,0904860,1-Regular local school district that is NOT a component of a supervisory union,2338,196.60
WATERFORD TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3417250,1-Regular local school district that is NOT a component of a supervisory union,942,95.25
WATERFORD UHS SCHOOL DISTRICT,Wisconsin,WI ,5515600,1-Regular local school district that is NOT a component of a supervisory union,954,70.18
WATERFORD UNIFIED,California,CA ,0600063,1-Regular local school district that is NOT a component of a supervisory union,1810,82.37
WATERFORD-HALFMOON UNION FREE SCHOOL DISTRICT,New York,NY ,3630060,1-Regular local school district that is NOT a component of a supervisory union,760,73.60
WATERLOO CENTRAL SCHOOL DISTRICT,New York,NY ,3600014,1-Regular local school district that is NOT a component of a supervisory union,1512,160.99
WATERLOO COMM SCHOOL DISTRICT,Iowa,IA ,1930480,1-Regular local school district that is NOT a component of a supervisory union,10645,769.91
WATERLOO CUSD 5,Illinois,IL ,1741070,1-Regular local school district that is NOT a component of a supervisory union,2768,170.72
WATERLOO LOCAL,Ohio,OH ,3904924,1-Regular local school district that is NOT a component of a supervisory union,812,90.00
WATERLOO SCHOOL DISTRICT,Wisconsin,WI ,5515720,1-Regular local school district that is NOT a component of a supervisory union,768,60.50
WATERSHED HIGH SCHOOL,Minnesota,MN ,2700213,7-Independent Charter District,49,5.00
WATERSMEET TOWNSHIP SCHOOL DISTRICT,Michigan,MI ,2635340,1-Regular local school district that is NOT a component of a supervisory union,150,18.10
WATERTOWN,Massachusetts,MA ,2512180,1-Regular local school district that is NOT a component of a supervisory union,2699,272.04
WATERTOWN CITY SCHOOL DISTRICT,New York,NY ,3630120,1-Regular local school district that is NOT a component of a supervisory union,3936,287.76
WATERTOWN SCHOOL DISTRICT,Connecticut,CT ,0904890,1-Regular local school district that is NOT a component of a supervisory union,2598,210.60
WATERTOWN SCHOOL DISTRICT 14-4,South Dakota,SD ,4676620,1-Regular local school district that is NOT a component of a supervisory union,3803,252.52
WATERTOWN UNIFIED SCHOOL DISTRICT,Wisconsin,WI ,5515750,1-Regular local school district that is NOT a component of a supervisory union,3202,228.80
WATERTOWN-MAYER PUBLIC SCHOOL DIST,Minnesota,MN ,2741910,1-Regular local school district that is NOT a component of a supervisory union,1506,99.16
WATERVILLE CENTRAL SCHOOL DISTRICT,New York,NY ,3630160,1-Regular local school district that is NOT a component of a supervisory union,742,66.78
WATERVILLE PUBLIC SCHOOLS,Maine,ME ,2313350,1-Regular local school district that is NOT a component of a supervisory union,1651,150.24
WATERVILLE SCHOOL DISTRICT,Washington,WA ,5309600,1-Regular local school district that is NOT a component of a supervisory union,232,20.01
WATERVILLE VALLEY SCHOOL DISTRICT,New Hampshire,NH ,3306910,1-Regular local school district that is NOT a component of a supervisory union,51,6.80
WATERVILLE-ELYSIAN-MORRISTOWN,Minnesota,MN ,2700013,1-Regular local school district that is NOT a component of a supervisory union,767,57.37
WATERVLIET CITY SCHOOL DISTRICT,New York,NY ,3630210,1-Regular local school district that is NOT a component of a supervisory union,1403,105.00
WATERVLIET SCHOOL DISTRICT,Michigan,MI ,2635460,1-Regular local school district that is NOT a component of a supervisory union,1452,80.63
WATKINS GLEN CENTRAL SCHOOL DISTRICT,New York,NY ,3630240,1-Regular local school district that is NOT a component of a supervisory union,916,85.00
WATONGA,Oklahoma,OK ,4031770,1-Regular local school district that is NOT a component of a supervisory union,733,55.57
WATSON CHAPEL SCHOOL DISTRICT,Arkansas,AR ,0513930,1-Regular local school district that is NOT a component of a supervisory union,1796,142.70
WATSONVILLE PREP DISTRICT,CALIFORNIA,CA ,0602497,7-Independent Charter District,396,13.93
WATTS,Oklahoma,OK ,4031860,1-Regular local school district that is NOT a component of a supervisory union,224,16.96
WATTS LEARNING CENTER CHARTER MIDDLE DISTRICT,CALIFORNIA,CA ,0601699,7-Independent Charter District,399,16.17
WATTS LEARNING CENTER DISTRICT,CALIFORNIA,CA ,0601573,7-Independent Charter District,350,13.00
WATTSBURG AREA SD,Pennsylvania,PA ,4225080,1-Regular local school district that is NOT a component of a supervisory union,1256,95.57
WAUBAY SCHOOL DISTRICT 18-3,South Dakota,SD ,4676680,1-Regular local school district that is NOT a component of a supervisory union,183,20.54
WAUBUN-OGEMA-WHITE EARTH SCHOOLS,Minnesota,MN ,2742120,1-Regular local school district that is NOT a component of a supervisory union,728,54.03
WAUCONDA CUSD 118,Illinois,IL ,1741190,1-Regular local school district that is NOT a component of a supervisory union,4387,315.30
WAUGH ELEMENTARY,California,CA ,0641790,1-Regular local school district that is NOT a component of a supervisory union,775,34.68
WAUKEE COMM SCHOOL DISTRICT,Iowa,IA ,1930510,1-Regular local school district that is NOT a component of a supervisory union,13082,831.02
WAUKEGAN CUSD 60,Illinois,IL ,1741250,1-Regular local school district that is NOT a component of a supervisory union,13679,957.00
WAUKENA JOINT UNION ELEMENTARY,California,CA ,0641820,1-Regular local school district that is NOT a component of a supervisory union,214,10.00
WAUKESHA SCHOOL DISTRICT,Wisconsin,WI ,5515780,1-Regular local school district that is NOT a component of a supervisory union,11855,795.51
WAUKOMIS,Oklahoma,OK ,4031950,1-Regular local school district that is NOT a component of a supervisory union,385,25.98
WAUNAKEE COMMUNITY SCHOOL DISTRICT,Wisconsin,WI ,5515810,1-Regular local school district that is NOT a component of a supervisory union,4408,338.77
WAUNETA-PALISADE PUBLIC SCHS,Nebraska,NE ,3100018,1-Regular local school district that is NOT a component of a supervisory union,230,20.20
WAUPACA SCHOOL DISTRICT,Wisconsin,WI ,5515840,1-Regular local school district that is NOT a component of a supervisory union,1999,160.86
WAUPUN SCHOOL DISTRICT,Wisconsin,WI ,5515870,1-Regular local school district that is NOT a component of a supervisory union,1974,136.23
WAURIKA,Oklahoma,OK ,4031980,1-Regular local school district that is NOT a component of a supervisory union,456,32.09
WAUSA PUBLIC SCHOOLS,Nebraska,NE ,3178450,1-Regular local school district that is NOT a component of a supervisory union,216,18.94
WAUSAU SCHOOL DISTRICT,Wisconsin,WI ,5515900,1-Regular local school district that is NOT a component of a supervisory union,7899,607.63
WAUSAUKEE SCHOOL DISTRICT,Wisconsin,WI ,5515930,1-Regular local school district that is NOT a component of a supervisory union,382,30.69
WAUSEON EXEMPTED VILLAGE,Ohio,OH ,3904564,1-Regular local school district that is NOT a component of a supervisory union,1737,90.16
WAUTOMA AREA SCHOOL DISTRICT,Wisconsin,WI ,5515960,1-Regular local school district that is NOT a component of a supervisory union,1307,105.18
WAUWATOSA SCHOOL DISTRICT,Wisconsin,WI ,5515990,1-Regular local school district that is NOT a component of a supervisory union,6935,486.12
WAUZEKA-STEUBEN SCHOOL DISTRICT,Wisconsin,WI ,5516020,1-Regular local school district that is NOT a component of a supervisory union,257,25.02
WAVERLY CENTRAL SCHOOL DISTRICT,New York,NY ,3630270,1-Regular local school district that is NOT a component of a supervisory union,1559,126.98
WAVERLY CITY,Ohio,OH ,3904914,1-Regular local school district that is NOT a component of a supervisory union,1694,117.00
WAVERLY COMMUNITY SCHOOLS,Michigan,MI ,2635520,1-Regular local school district that is NOT a component of a supervisory union,2884,182.07
WAVERLY CUSD 6,Illinois,IL ,1741280,1-Regular local school district that is NOT a component of a supervisory union,354,28.22
WAVERLY SCHOOL DISTRICT 14-5,South Dakota,SD ,4676740,1-Regular local school district that is NOT a component of a supervisory union,271,20.25
WAVERLY SCHOOL DISTRICT 145,Nebraska,NE ,3100021,1-Regular local school district that is NOT a component of a supervisory union,2165,145.95
WAVERLY-SHELL ROCK COMM SCHOOL DISTRICT,Iowa,IA ,1930540,1-Regular local school district that is NOT a component of a supervisory union,2394,171.38
WAWASEE COMMUNITY SCHOOL CORP,Indiana,IN ,1805550,1-Regular local school district that is NOT a component of a supervisory union,2838,203.99
WAXAHACHIE FAITH FAMILY ACADEMY,Texas,TX ,4800105,7-Independent Charter District,2768,130.39
